question,label
Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,SAFE
Is HIV/STD control in Jamaica making a difference?,SAFE
Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,SAFE
Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,SAFE
Does positron emission tomography change management in primary rectal cancer?,SAFE
Can you deliver accurate tidal volume by manual resuscitator?,SAFE
Can increases in the cigarette tax rate be linked to cigarette retail prices?,SAFE
Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,SAFE
Does hypoglycaemia increase the risk of cardiovascular events?,SAFE
Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,SAFE
Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,SAFE
Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?,SAFE
Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes in Autoantibody-Positive TrialNet Subjects?,SAFE
Assessment of appropriate antimicrobial prescribing: do experts agree?,SAFE
Is there a favorable subset of patients with prostate cancer who develop oligometastases?,SAFE
Cycloplegic autorefraction in young adults: is it mandatory?,SAFE
Does screening or surveillance for primary hepatocellular carcinoma with ultrasonography improve the prognosis of patients?,SAFE
"""Would a man smell a rose then throw it away?",SAFE
Department of Transportation vs self-reported data on motor vehicle collisions and driving convictions for stroke survivors: do they agree?,SAFE
"Neoadjuvant Imatinib in Locally Advanced Gastrointestinal stromal Tumours, Will Kit Mutation Analysis Be a Pathfinder?",SAFE
Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?,SAFE
Does self-efficacy mediate the relationship between transformational leadership behaviours and healthcare workers' sleep quality?,SAFE
Does microbial contamination influence the success of the hematopoietic cell transplantation outcomes?,SAFE
Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?,SAFE
Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?,SAFE
Are physicians aware of the side effects of angiotensin-converting enzyme inhibitors?,SAFE
Residual fundus or neofundus after laparoscopic sleeve gastrectomy: is fundectomy safe and effective as revision surgery?,SAFE
Are physician estimates of asthma severity less accurate in black than in white patients?,SAFE
Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?,SAFE
"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",SAFE
Do communication disorders extend to musical messages?,SAFE
Do patients with rheumatoid arthritis established on methotrexate and folic acid 5 mg daily need to continue folic acid supplements long term?,SAFE
Can infundibular height predict the clearance of lower pole calyceal stone after extracorporeal shockwave lithotripsy?,SAFE
Does lung ischemia and reperfusion have an impact on coronary flow?,SAFE
Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,SAFE
Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,SAFE
Is duration of psychological treatment for depression related to return into treatment?,SAFE
Does shaving the incision site increase the infection rate after spinal surgery?,SAFE
The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,SAFE
Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,SAFE
Do somatic complaints predict subsequent symptoms of depression?,SAFE
Are women with major depression in pregnancy identifiable in population health data?,SAFE
Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,SAFE
Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,SAFE
The inverse equity hypothesis: does it apply to coverage of cancer screening in middle-income countries?,SAFE
Identification of racial disparities in breast cancer mortality: does scale matter?,SAFE
Does the leukocyte count correlate with the severity of injury?,SAFE
Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,SAFE
Aromatase inhibitor-related musculoskeletal symptoms: is preventing osteoporosis the key to eliminating these symptoms?,SAFE
Could different follow-up modalities play a role in the diagnosis of asymptomatic endometrial cancer relapses?,SAFE
Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,SAFE
Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,SAFE
Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,SAFE
Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,SAFE
Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,SAFE
May student examiners be reasonable substitute examiners for faculty in an undergraduate OSCE on medical emergencies?,SAFE
Are endothelial cell patterns of astrocytomas indicative of grade?,SAFE
Do healthier lifestyles lead to less utilization of healthcare resources?,SAFE
Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?,SAFE
Do all ethnic groups in New Zealand exhibit socio-economic mortality gradients?,SAFE
Can normal knee kinematics be restored with unicompartmental knee replacement?,SAFE
Are serum leptin levels a prognostic factor in advanced lung cancer?,SAFE
Is fetal gender associated with emergency department visits for asthma during pregnancy?,SAFE
Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factors in the pathogenesis of atrial fibrillation?,SAFE
Are adult body circumferences associated with height?,SAFE
Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,SAFE
Traumatic aortic injury: does the anatomy of the aortic arch influence aortic trauma severity?,SAFE
Inpatient versus outpatient management of neutropenic fever in gynecologic oncology patients: is risk stratification useful?,SAFE
Should chest wall irradiation be included after mastectomy and negative node breast cancer?,SAFE
Can bisphosphonate treatment be stopped in a growing child with skeletal fragility?,SAFE
"Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?",SAFE
Does blood pressure change in treated hypertensive patients depending on whether it is measured by a physician or a nurse?,SAFE
Treadmill testing of children who have spina bifida and are ambulatory: does peak oxygen uptake reflect maximum oxygen uptake?,SAFE
Is the probability of prenatal diagnosis or termination of pregnancy different for fetuses with congenital anomalies conceived following assisted reproductive techniques?,SAFE
Is there a relationship between complex fractionated atrial electrograms recorded during atrial fibrillation and sinus rhythm fractionation?,SAFE
Does rural or urban residence make a difference to neonatal outcome in premature birth?,SAFE
Is the use of cyanoacrylate in intestinal anastomosis a good and reliable alternative?,SAFE
Is trabecular bone related to primary stability of miniscrews?,SAFE
"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?",SAFE
Is it necessary to insert a nasobiliary drainage tube routinely after endoscopic clearance of the common bile duct in patients with choledocholithiasis-induced cholangitis?,SAFE
Storage of vaccines in the community: weak link in the cold chain?,SAFE
Is the clinically positive axilla in breast cancer really a contraindication to sentinel lymph node biopsy?,SAFE
Convulsions and retinal haemorrhage: should we look further?,SAFE
Are patients willing participants in the new wave of community-based medical education in regional and rural Australia?,SAFE
Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,SAFE
Quality of life in lung cancer patients: does socioeconomic status matter?,SAFE
Are Biochemical Markers of Bone Turnover Representative of Bone Histomorphometry in 370 Postmenopausal Women?,SAFE
Should early extubation be the goal for children after congenital cardiac surgery?,SAFE
Does delivery mode affect women's postpartum quality of life in rural China?,SAFE
Menopausal hormone therapy and irregular endometrial bleeding: a potential role for uterine natural killer cells?,SAFE
Percutaneous ethanol injection for benign cystic thyroid nodules: is aspiration of ethanol-mixed fluid advantageous?,SAFE
Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,SAFE
Are performance measurement systems useful?,SAFE
Does para-cervical block offer additional advantages in abortion induction with gemeprost in the 2nd trimester?,SAFE
Does insulin resistance drive the association between hyperglycemia and cardiovascular risk?,SAFE
Are there risk factors that increase the rate of staple line leakage in patients undergoing primary sleeve gastrectomy for morbid obesity?,SAFE
Chronic functional somatic symptoms: a single syndrome?,SAFE
"Actinobaculum schaalii, a cause of urinary tract infections in children?",SAFE
Prevalence of chronic conditions among Medicare Part A beneficiaries in 2008 and 2010: are Medicare beneficiaries getting sicker?,SAFE
Does successful completion of the Perinatal Education Programme result in improved obstetric practice?,SAFE
Do patients with localized prostate cancer treatment really want more aggressive treatment?,SAFE
Does music influence stress in mechanically ventilated patients?,SAFE
Does reducing spasticity translate into functional benefit?,SAFE
Is the holmium:YAG laser the best intracorporeal lithotripter for the ureter?,SAFE
Metered-dose inhalers. Do health care providers know what to teach?,SAFE
Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?,SAFE
Health habits and vaccination status of Lebanese residents: are future doctors applying the rules of prevention?,SAFE
Does vaginal intraepithelial neoplasia have the same evolution as cervical intraepithelial neoplasia?,SAFE
Should general practitioners call patients by their first names?,SAFE
Transesophageal echocardiographic assessment of left ventricular function in brain-dead patients: are marginally acceptable hearts suitable for transplantation?,SAFE
Attenuation of ischemia/reperfusion-induced ovarian damage in rats: does edaravone offer protection?,SAFE
Does the National Institutes of Health Stroke Scale favor left hemisphere strokes?,SAFE
Can a Novel Surgical Approach to the Temporomandibular Joint Improve Access and Reduce Complications?,SAFE
"Young-Burgess classification of pelvic ring fractures: does it predict mortality, transfusion requirements, and non-orthopaedic injuries?",SAFE
Is vitamin D deficiency a feature of pediatric celiac disease?,SAFE
Is unsafe sexual behaviour increasing among HIV-infected individuals?,SAFE
Cholestasis associated with small bowel atresia: do we always need to investigate?,SAFE
Are financial incentives cost-effective to support smoking cessation during pregnancy?,SAFE
Can medical students contribute to quality assurance programmes in day surgery?,SAFE
Measurement of head and neck paragangliomas: is volumetric analysis worth the effort?,SAFE
Three-dimensional ultrasound-validated large-core needle biopsy: is it a reliable method for the histological assessment of breast lesions?,SAFE
Can bone thickness and inter-radicular space affect miniscrew placement in posterior mandibular sites?,SAFE
Do general practice selection scores predict success at MRCGP?,SAFE
The Deformity Angular Ratio: Does It Correlate With High-Risk Cases for Potential Spinal Cord Monitoring Alerts in Pediatric 3-Column Thoracic Spinal Deformity Corrective Surgery?,SAFE
Does age moderate the effect of personality disorder on coping style in psychiatric inpatients?,SAFE
Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?,SAFE
Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,SAFE
Quaternary cytoreductive surgery in ovarian cancer: does surgical effort still matter?,SAFE
Chemotherapy and survival in advanced non-small cell lung carcinoma: is pneumologists' skepticism justified?,SAFE
Does topical ropivacaine reduce the post-tonsillectomy morbidity in pediatric patients?,SAFE
Is pain a clinically relevant problem in general adult psychiatry?,SAFE
Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,SAFE
Does the use of atypical antipsychotics as adjunctive therapy in depression result in cost savings?,SAFE
Can patients be anticoagulated after intracerebral hemorrhage?,SAFE
Diagnostic and therapeutic ureteroscopy: is dilatation of ureteral meatus always necessary?,SAFE
Does managed care enable more low income persons to identify a usual source of care?,SAFE
"Knee extensor strength, dynamic stability, and functional ambulation: are they related in Parkinson's disease?",SAFE
"Is distance to provider a barrier to care for medicaid patients with breast, colorectal, or lung cancer?",SAFE
Can folic acid protect against congenital heart defects in Down syndrome?,SAFE
Are there mental health differences between francophone and non-francophone populations in manitoba?,SAFE
Does type 1 diabetes mellitus affect Achilles tendon response to a 10 km run?,SAFE
Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,SAFE
Does cup-cage reconstruction with oversized cups provide initial stability in THA for osteoporotic acetabular fractures?,SAFE
Pulmonary valve replacement in adults late after repair of tetralogy of fallot: are we operating too late?,SAFE
Xanthogranulomatous cholecystitis: a premalignant condition?,SAFE
Does TDP-43 type confer a distinct pattern of atrophy in frontotemporal lobar degeneration?,SAFE
Is oncoplastic surgery a contraindication for accelerated partial breast radiation using the interstitial multicatheter brachytherapy method?,SAFE
"Diagnostic characteristics of child bipolar I disorder: does the ""Treatment of Early Age Mania (team)"" sample generalize?",SAFE
Estimation of basal metabolic rate in Chinese: are the current prediction equations applicable?,SAFE
Does rugby headgear prevent concussion?,SAFE
Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,SAFE
Can shape analysis differentiate free-floating internal carotid artery thrombus from atherosclerotic plaque in patients evaluated with CTA for stroke or transient ischemic attack?,SAFE
Dementia and aphasia in motor neuron disease: an underrecognised association?,SAFE
Does solid culture for tuberculosis influence clinical decision making in India?,SAFE
Diffusion-weighted echo-planar MR imaging of primary parotid gland tumors: is a prediction of different histologic subtypes possible?,SAFE
Is there a role for endothelin-1 in the hemodynamic changes during hemodialysis?,SAFE
Do risk factors for suicidal behavior differ by affective disorder polarity?,SAFE
Multidisciplinary breast cancer clinics. Do they work?,SAFE
Is the international normalised ratio (INR) reliable?,SAFE
"Are there associations of health status, disease activity and damage in SLE patients?",SAFE
PSA repeatedly fluctuating levels are reassuring enough to avoid biopsy?,SAFE
Is zero central line-associated bloodstream infection rate sustainable?,SAFE
"Is gastric electrical stimulation superior to standard pharmacologic therapy in improving GI symptoms, healthcare resources, and long-term health care benefits?",SAFE
Should pulp chamber pulpotomy be seen as a permanent treatment?,SAFE
Does transverse apex coincide with coronal apex levels (regional or global) in adolescent idiopathic scoliosis?,SAFE
Does the Child Health Computing System adequately identify children with cerebral palsy?,SAFE
Are we seeing the effects of public awareness campaigns?,SAFE
Is breast cancer prognosis inherited?,SAFE
Does nuchal translucency thickness in the first trimester predict GDM onset during pregnancy?,SAFE
Are the arginine vasopressin V1a receptor microsatellites related to hypersexuality in children with a prepubertal and early adolescent bipolar disorder phenotype?,SAFE
Stage I non-small cell lung carcinoma: really an early stage?,SAFE
Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,SAFE
Optimism and survival: does an optimistic outlook predict better survival at advanced ages?,SAFE
Is it better to be big?,SAFE
Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,SAFE
Cold knife conization vs. LEEP. Are they the same procedure?,SAFE
Are pectins involved in cold acclimation and de-acclimation of winter oil-seed rape plants?,SAFE
Updating emotional content in working memory: a depression-specific deficit?,SAFE
Does ultrasound imaging before puncture facilitate internal jugular vein cannulation?,SAFE
Should prostate specific antigen be adjusted for body mass index?,SAFE
Does obstructive sleep apnea affect aerobic fitness?,SAFE
The effect of an intracerebroventricular injection of metformin or AICAR on the plasma concentrations of melatonin in the ewe: potential involvement of AMPK?,SAFE
Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?,SAFE
Characterization of the gender dimorphism after injury and hemorrhagic shock: are hormonal differences responsible?,SAFE
Can communication with terminally ill patients be taught?,SAFE
Delays in time to primary treatment after a diagnosis of breast cancer: does it impact survival?,SAFE
Are increased carotid artery pulsatility and resistance indexes early signs of vascular abnormalities in young obese males?,SAFE
Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?,SAFE
Does open access publishing increase the impact of scientific articles?,SAFE
In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophic pyloric stenosis: is there an etiologic role?,SAFE
Does the early adopter of drugs exist?,SAFE
Does high blood pressure reduce the risk of chronic low back pain?,SAFE
Does responsibility affect the public's valuation of health care interventions?,SAFE
Nasal fractures:  is closed reduction satisfying?,SAFE
"Do improvements in outreach, clinical, and family and community-based services predict improvements in child survival?",SAFE
Does spontaneous remission occur in polyarteritis nodosa?,SAFE
Gluten tolerance in adult patients with celiac disease 20 years after diagnosis?,SAFE
Do symptoms predict COPD in smokers?,SAFE
Search engine as a diagnostic tool in difficult immunological and allergologic cases: is Google useful?,SAFE
Uniformity of evidence-based treatments in practice?,SAFE
Do approved doctors and medical referees in the UK agree when assessing a seafarer's fitness?,SAFE
Hepatorenal syndrome: are we missing some prognostic factors?,SAFE
Vaginal dose assessment in image-guided brachytherapy for cervical cancer: Can we really rely on dose-point evaluation?,SAFE
Prescriptions as a proxy for asthma in children: a good choice?,SAFE
Does the familial transmission of drinking patterns persist into young adulthood?,SAFE
Proof of concept study: does fenofibrate have a role in sleep apnoea syndrome?,SAFE
Can mental imagery functional magnetic resonance imaging predict recovery in patients with disorders of consciousness?,SAFE
The nurse cystoscopist: a feasible option?,SAFE
Is cardiovascular evaluation necessary prior to and during beta-blocker therapy for infantile hemangiomas?,SAFE
Is specialty care associated with improved survival of patients with congestive heart failure?,SAFE
Can the prognosis of polymyalgia rheumatica be predicted at disease onset?,SAFE
Should ascitis volume and anthropometric measurements be estimated in hospitalized alcoholic cirrotics?,SAFE
The use of audit to identify maternal mortality in different settings: is it just a difference between the rich and the poor?,SAFE
Could the extent of lymphadenectomy be modified by neoadjuvant chemotherapy in cervical cancer?,SAFE
Do Wound Cultures Give Information About the Microbiology of Blood Cultures in Severe Burn Patients?,SAFE
Are behavioural risk factors to be blamed for the conversion from optimal blood pressure to hypertensive status in Black South Africans?,SAFE
Systematic use of patient-rated depression severity monitoring: is it helpful and feasible in clinical psychiatry?,SAFE
Treadmill training post stroke: are there any secondary benefits?,SAFE
Does lunar position influence the time of delivery?,SAFE
Is oral endotracheal intubation efficacy impaired in the helicopter environment?,SAFE
Prostatic syndrome and pleural effusion: are they different diseases?,SAFE
Telemedicine and type 1 diabetes: is technology per se sufficient to improve glycaemic control?,SAFE
Is controlled ovarian stimulation in intrauterine insemination an acceptable therapy in couples with unexplained non-conception in the perspective of multiple pregnancies?,SAFE
Is half-dose contrast-enhanced three-dimensional MR angiography sufficient for the abdominal aorta and pelvis?,SAFE
Digital Tomosynthesis: A Viable Alternative to Noncontrast Computed Tomography for the Follow-Up of Nephrolithiasis?,SAFE
High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 diabetes?,SAFE
Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease?,SAFE
Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?,SAFE
Preoperative locoregional staging of gastric cancer: is there a place for magnetic resonance imaging?,SAFE
Do familiar teammates request and accept more backup?,SAFE
Transsphenoidal pituitary surgery in Cushing's disease: can we predict outcome?,SAFE
Can bedside assessment reliably exclude aspiration following acute stroke?,SAFE
Are UK radiologists satisfied with the training and support received in suspected child abuse?,SAFE
Artefacts in 24-h pharyngeal and oesophageal pH monitoring: is simplification of pH data analysis feasible?,SAFE
Can the condition of the cell microenvironment of mediastinal lymph nodes help predict the risk of metastases in non-small cell lung cancer?,SAFE
Are wandering and physically nonaggressive agitation equivalent?,SAFE
Is size-reducing ascending aortoplasty with external reinforcement an option in modern aortic surgery?,SAFE
Does depression diagnosis and antidepressant prescribing vary by location?,SAFE
Can routinely collected ambulance data about assaults contribute to reduction in community violence?,SAFE
Volume change of uterine myomas during pregnancy: do myomas really grow?,SAFE
Is laparoscopic adrenalectomy safe and effective for adrenal masses larger than 7 cm?,SAFE
Upstream solutions: does the supplemental security income program reduce disability in the elderly?,SAFE
Profiling quality of care: Is there a role for peer review?,SAFE
Eyelid-parotid metastasis: do we screen for coexisting masses?,SAFE
Will CT ordering practices change if we educate residents about the potential effects of radiation exposure?,SAFE
Does context matter for the relationship between deprivation and all-cause mortality?,SAFE
Does stress increase imitation of drinking behavior?,SAFE
School food policy at Dutch primary schools: room for improvement?,SAFE
Is the atopy patch test with house dust mites specific for atopic dermatitis?,SAFE
Juvenile osteochondritis dissecans: is it a growth disturbance of the secondary physis of the epiphysis?,SAFE
Do preoperative statins reduce atrial fibrillation after coronary artery bypass grafting?,SAFE
Is there a uniform basal endometrial gene expression profile during the implantation window in women who became pregnant in a subsequent ICSI cycle?,SAFE
Can decisional algorithms replace global introspection in the individual causality assessment of spontaneously reported ADRs?,SAFE
Can we rely on arterial line sampling in performing activated plasma thromboplastin time after cardiac surgery?,SAFE
Does timing of initial surfactant treatment make a difference in rates of chronic lung disease or mortality in premature infants?,SAFE
Clinician assessment for acute chest syndrome in febrile patients with sickle cell disease: is it accurate enough?,SAFE
Outcome Feedback within Emergency Medicine Training Programs: An Opportunity to Apply the Theory of Deliberate Practice?,SAFE
Can multiple SNP testing in BRCA2 and BRCA1 female carriers be used to improve risk prediction models in conjunction with clinical assessment?,SAFE
Does a special interest in laparoscopy affect the treatment of acute cholecystitis?,SAFE
Can progression of valvar aortic stenosis be predicted accurately?,SAFE
Does automatic transmission improve driving behavior in older drivers?,SAFE
Birth characteristics and risk of low intellectual performance in early adulthood: are the associations confounded by socioeconomic factors in adolescence or familial effects?,SAFE
Is scintigraphy a guideline method in determining amputation levels in diabetic foot?,SAFE
Is determination between complete and incomplete traumatic spinal cord injury clinically relevant?,SAFE
Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,SAFE
Do symptoms matter when considering patients for phase I clinical trials?,SAFE
Is vitamin D insufficiency or deficiency related to the development of osteochondritis dissecans?,SAFE
Do episodic migraineurs selectively attend to headache-related visual stimuli?,SAFE
Mitral replacement or repair for functional mitral regurgitation in dilated and ischemic cardiomyopathy: is it really the same?,SAFE
Do nontriploid partial hydatidiform moles exist?,SAFE
Is cholecystectomy really an indication for concomitant splenectomy in mild hereditary spherocytosis?,SAFE
Does surgery or radiation therapy impact survival for patients with extrapulmonary small cell cancers?,SAFE
